,iata,name,city,state,country,latitude,longitude
1951,K15,Linn Creek-Grand Glaize Memorial,Osage Beach,MO,USA,38.11045,-92.68054583
1952,K20,Wendell H. Ford,Hazard,KY,USA,37.38783833,-83.26205889
1953,K22,Big Sandy Regional,Prestonburg,KY,USA,37.75102778,-82.63669444
1954,K24,Russell County,Jamestown,KY,USA,37.00888889,-85.10277778
1955,K29,Council,Council,AK,USA,64.89788278,-163.70344719999997
1956,K33,Salem Memorial,Salem,MO,USA,37.61523333,-91.60444167
1957,K34,Municipal,Gardner,KS,USA,38.80708333,-94.95602778
1958,K39,St Clair Memorial,St Clair,MO,USA,38.37594333,-90.97073944
1959,K46,Blair Municipal,Blair,NE,USA,41.41805139,-96.1136275
1960,K54,Teller,Teller,AK,USA,65.24089806,-166.33600669999998
1961,K57,Gould Peterson Municipal,Tarkio,MO,USA,40.44583139,-95.36275806
1962,K59,Amelia Earhart,Atchison,KS,USA,39.57052472,-95.18033139
1963,K61,Moritz Memorial,Beloit,KS,USA,39.47115222,-98.12878389
1964,K62,Falmouth Pendleton County,Falmouth,KY,USA,38.70423611,-84.39160417
1965,K67,Oswego Municipal,Oswego,KS,USA,37.15978667,-95.04246222
1966,K68,Garnett Municipal,Garnett,KS,USA,38.27918833,-95.21691833
1967,K78,Abilene Municipal,Abilene.,KS,USA,38.90405583,-97.23585389
1968,K81,Miami County,Paola,KS,USA,38.53751389,-94.92524194
1969,K82,Smith Center Municipal,Smith Center,KS,USA,39.76112278,-98.79343639
1970,K83,Sabetha Municipal,Sabetha,KS,USA,39.90416667,-95.7794325
1971,K88,Allen County,Iola,KS,USA,37.87008333,-95.38638889
1972,K89,Macon-Fower Memorial,Macon,MO,USA,39.72870694,-92.464455
1973,K96,Tuscola,Tuscola,IL,USA,39.78086528,-88.30615999999999
1974,KAE,Kake SPB,Kake,AK,USA,56.97299639,-133.94561470000002
1975,KAL,Kaltag,Kaltag,AK,USA,64.32571917,-158.7441475
1976,KCC,Coffman Cove SPB,Coffman Cove,AK,USA,56.00324444,-132.8419689
1977,KCL,Chignik Lagoon,Chignik Flats,AK,USA,56.31116306,-158.5359264
1978,KEB,English Bay,English Bay,AK,USA,59.35214833,-151.92515580000003
1979,KEK,Ekwok,Ekwok,AK,USA,59.35399444,-157.4744092
1980,KFP,False Pass,False Pass,AK,USA,54.84744583,-163.4103222
1981,KGX,Grayling,Grayling,AK,USA,62.89456056,-160.0649042
1982,KIB,Ivanof Bay SPB,Ivanof Bay,AK,USA,55.89753333,-159.4886689
1983,KIC,Mesa Del Rey,King City,CA,USA,36.22802139,-121.1218614
1984,KKA,Koyuk,Koyuk,AK,USA,64.93404056,-161.158145
1985,KKB,Kitoi Bay SPB,Kitoi Bay,AK,USA,58.19094611,-152.3704875
1986,KLG,Kalskag,Kalskag,AK,USA,61.53627389,-160.3413306
1987,KLL,Levelock,Levelock,AK,USA,59.11816472,-156.8652169
1988,KLS,Kelso-Longview,Kelso,WA,USA,46.118,-122.8983889
1989,KNB,Kanab Muni,Kanab,UT,USA,37.01110583,-112.5311936
1990,KNW,Stuyahok,New Stuyahok,AK,USA,59.44955333,-157.3271908
1991,KOA,Kona International At Keahole,Kailua/Kona,HI,USA,19.73876583,-156.0456314
1992,KPB,Point Baker SPB,Point Baker,AK,USA,56.35185972,-133.62258640000002
1993,KPH,Pauloff Harbor SPB,Pauloff Harbor,AK,USA,54.45912028,-162.6936406
1994,KQA,Akutan SPB,Akutan,AK,USA,54.13246694,-165.7853111
1995,KSM,St. Mary's,St. Mary's,AK,USA,62.06048639,-163.3021108
1996,KTB,Thorne Bay,Thorne Bay,AK,USA,55.68796194,-132.53667579999998
1997,KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374
1998,KTS,Brevig Mission,Brevig Mission,AK,USA,65.33136111,-166.4631667
1999,KVC,King Cove,King Cove,AK,USA,55.116347499999996,-162.26622719999997
2000,KVL,Kivalina,Kivalina,AK,USA,67.73125333,-164.55180190000002
2001,KWT,Kwethluk,Kwethluk,AK,USA,60.80425194,-161.44535
2002,KXA,Kasaan SPB,Kasaan,AK,USA,55.53741389,-132.3975144
2003,KYK,Karluk,Karluk,AK,USA,57.56706389,-154.45037140000002
2004,KYU,Koyukuk,Koyukuk,AK,USA,64.87714278,-157.7158358
2005,L04,Holtville,Holtville,CA,USA,32.84032361,-115.26748059999998
2006,L05,Kern Valley,Kernville,CA,USA,35.72828472,-118.41980690000001
2007,L06,Furnace Creek,Death Valley National Park,CA,USA,36.46383694,-116.8814425
2008,L08,Borrego Valley,Borrego Springs,CA,USA,33.25902778,-116.3209722
2009,L12,Redlands Municipal,Redlands,CA,USA,34.08526167,-117.14637890000002
2010,L15,Henderson,Las Vegas,NV,USA,35.97636444,-115.13277079999999
2011,L17,Taft-Kern County,Taft,CA,USA,35.14107806,-119.4412294
2012,L18,Fallbrook Community Airpark,Fallbrook,CA,USA,33.35419806,-117.2508686
2013,L19,Wasco-Kern County,Wasco,CA,USA,35.61967889,-119.3537242
2014,L26,Hesperia,Hesperia,CA,USA,34.37722333,-117.31587830000001
2015,L31,Greater St. Tammany Parish,Covington,LA,USA,30.44505417,-89.98887889
2016,L35,Big Bear City,Big Bear,CA,USA,34.26361944,-116.854475
2017,L38,Louisiana Regional,Gonzales,LA,USA,30.17135306,-90.94039583
2018,L39,Leesville,Leesville,LA,USA,31.16819444,-93.34245833
2019,L42,Allen Parish,Oakdale,LA,USA,30.75016667,-92.68847222
2020,L45,Bakersfield Municipal,Bakersfield,CA,USA,35.32483333,-118.99583329999999
2021,L49,South Lafourche,Galliano,LA,USA,29.44482222,-90.26111667
2022,L52,Oceano County,Oceano,CA,USA,35.10136472,-120.62211529999999
2023,L67,Rialto Municipal,Rialto,CA,USA,34.12934361,-117.40163030000001
2024,L70,Agua Dulce Airpark,Agua Dulce,CA,USA,34.50415889,-118.3128561
2025,L71,California City Municipal,California City,CA,USA,35.15125306,-118.01666670000002
2026,L72,Trona,Trona,CA,USA,35.81245333,-117.3272783
2027,L75,Southland,Sulphur,LA,USA,30.13138889,-93.37611111
2028,L83,Thibodaux Municipal,Thibodaux,LA,USA,29.74779194,-90.83289889
2029,L84,Lost Hills-Kern County,Lost Hills,CA,USA,35.62357083,-119.68623829999999
2030,L92,Alamo Landing,Alamo,NV,USA,37.36246083,-115.1944622
2031,LAA,Lamar Muni,Lamar,CO,USA,38.06969444,-102.6885
2032,LAF,Purdue University,Lafayette,IN,USA,40.41231694,-86.93689889
2033,LAL,Lakeland Linder Regional,Lakeland,FL,USA,27.98891667,-82.01855556
2034,LAM,Los Alamos,Los Alamos,NM,USA,35.87980194,-106.26941529999999
2035,LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806
2036,LAR,Laramie Regional,Laramie,WY,USA,41.31205,-105.67498640000001
2037,LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
2038,LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667
2039,LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999
2040,LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778
2041,LBE,Arnold Palmer Regional,Latrobe,PA,USA,40.275940000000006,-79.40479722
2042,LBF,North Platte Regional,North Platte,NE,USA,41.12621194,-100.6836542
2043,LBL,Liberal Municipal,Liberal,KS,USA,37.04420944,-100.9598611
2044,LBO,Floyd W Jones Lebanon,Lebanon,MO,USA,37.64718056,-92.65375778
2045,LBT,Lumberton Municipal,Lumberton,NC,USA,34.60991667,-79.05944444
2046,LBX,Brazoria County,Angleton,TX,USA,29.10863889,-95.46208056
2047,LCG,Wayne Municipal,Wayne,NE,USA,42.24188889,-96.98141667
2048,LCH,Lake Charles Regional,Lake Charles,LA,USA,30.126097499999997,-93.22340361
2049,LCI,Laconia Municipal,Laconia,NH,USA,43.57272806,-71.41890028
2050,LCK,Rickenbacker International,Columbus,OH,USA,39.81375917,-82.92786472
2051,LCQ,Lake City Municipal,Lake City,FL,USA,30.18205556,-82.57686111
2052,LDJ,Linden,Linden,NJ,USA,40.61744722,-74.24459417
2053,LDM,Mason County,Ludington,MI,USA,43.96253278,-86.40791528
2054,LEB,Lebanon Municipal,Lebanon,NH,USA,43.62637222,-72.30426722
2055,LEE,Leesburg Regional,Leesburg,FL,USA,28.82274417,-81.80900722
2056,LEM,Lemmon Municipal,Lemmon,SD,USA,45.91869722,-102.1061778
2057,LEW,Auburn-Lewiston Municipal,Auburn-Lewiston,ME,USA,44.04847278,-70.2835075
2058,LEX,Blue Grass,Lexington,KY,USA,38.03697222,-84.60538889
2059,LFK,Lufkin-Angelina County,Lufkin,TX,USA,31.23401389,-94.75
2060,LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655
2061,LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
2062,LGB,Long Beach (Daugherty),Long Beach,CA,USA,33.81772222,-118.1516111
2063,LGC,LaGrange-Callaway,Lagrange,GA,USA,33.00884694,-85.07260556
2064,LGD,La Grande/Union County,La Grande,OR,USA,45.29020944,-118.0071108
2065,LGU,Logan-Cache,Logan,UT,USA,41.78773083,-111.85268219999999
2066,LHD,Lake Hood SPB,Anchorage,AK,USA,61.18000361,-149.9719322
2067,LHM,Lincoln Regional,Lincoln,CA,USA,38.90916111,-121.3513361
2068,LHQ,Fairfield County,Lancaster,OH,USA,39.75564722,-82.65711
2069,LHV,Wm T Piper Memorial,Lock Haven,PA,USA,41.13618028,-77.42053556
2070,LHX,La Junta Muni,La Junta,CO,USA,38.05134111,-103.51069079999999
2071,LHZ,Franklin County,Louisburg,NC,USA,36.02334528,-78.33027139
2072,LIC,Limon Municipal,Limon,CO,USA,39.272765,-103.6663392
2073,LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581
2074,LIT,Adams,Little Rock,AR,USA,34.72939611,-92.22424556
2075,LJF,Litchfield Municipal,Litchfield,MN,USA,45.09712889,-94.50726833
2076,LKP,Lake Placid,Lake Placid,NY,USA,44.26447361,-73.96186639
2077,LKR,Lancaster County,Lancaster,SC,USA,34.72291667,-80.85458333
2078,LKU,Louisa County / Freeman,Louisa,VA,USA,38.00983333,-77.97013889
